check_item,doc_value,recomputed_value,source,status,note
pending.table1_r3_c2,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r3_c3,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r3_c4,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r4_c2,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r4_c3,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r4_c4,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r5_c2,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r5_c3,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r5_c4,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r6_c2,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r6_c3,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r6_c4,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r7_c2,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r7_c3,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r7_c4,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table2_r2_c2,待补,待补,预调查KMO/Bartlett结果,PENDING,缺少预调查原始数据/结果表
pending.table2_r3_c2,待补,待补,预调查KMO/Bartlett结果,PENDING,缺少预调查原始数据/结果表
pending.table2_r4_c2,待补,待补,预调查KMO/Bartlett结果,PENDING,缺少预调查原始数据/结果表
pending.table2_r5_c2,待补,待补,预调查KMO/Bartlett结果,PENDING,缺少预调查原始数据/结果表
pending.paragraph_pretest_recovery,待补,待补,预调查回收台账/原始问卷,PENDING,缺少预调查原始数据
